max_depth	max_features	min_samples_leaf	min_samples_split	n_estimators	mean_valid_accuracy	mean_valid_precision_macro	mean_valid_recall_macro	mean_valid_f1_macro	mean_valid_auc_ovr_macro
6	sqrt	10	10	600	0.525	0.5284381577028636	0.5282021573198044	0.512510024469959	0.699703591238952
6	sqrt	10	2	600	0.525	0.5284381577028636	0.5282021573198044	0.512510024469959	0.699703591238952
6	sqrt	10	4	600	0.525	0.5284381577028636	0.5282021573198044	0.512510024469959	0.699703591238952
6	sqrt	10	8	600	0.525	0.5284381577028636	0.5282021573198044	0.512510024469959	0.699703591238952
6	sqrt	10	2	200	0.5275	0.5220094366417896	0.5279973947621006	0.5110268238455908	0.6963512501812479
6	sqrt	10	4	200	0.5275	0.5220094366417896	0.5279973947621006	0.5110268238455908	0.6963512501812479
6	sqrt	10	8	200	0.5275	0.5220094366417896	0.5279973947621006	0.5110268238455908	0.6963512501812479
6	sqrt	10	10	200	0.5275	0.5220094366417896	0.5279973947621006	0.5110268238455908	0.6963512501812479
8	sqrt	10	8	600	0.5250000000000001	0.5249616342263402	0.5262577128753599	0.5105411822445998	0.6988391620771641
8	sqrt	10	2	600	0.5250000000000001	0.5249616342263402	0.5262577128753599	0.5105411822445998	0.6988391620771641
8	sqrt	10	10	600	0.5250000000000001	0.5249616342263402	0.5262577128753599	0.5105411822445998	0.6988391620771641
8	sqrt	10	4	600	0.5250000000000001	0.5249616342263402	0.5262577128753599	0.5105411822445998	0.6988391620771641
6	sqrt	10	2	1000	0.5224358974358975	0.5225511280658339	0.5245999588646648	0.5087214615768674	0.6964544361370251
6	sqrt	10	8	1000	0.5224358974358975	0.5225511280658339	0.5245999588646648	0.5087214615768674	0.6964544361370251
6	sqrt	10	4	1000	0.5224358974358975	0.5225511280658339	0.5245999588646648	0.5087214615768674	0.6964544361370251
6	sqrt	10	10	1000	0.5224358974358975	0.5225511280658339	0.5245999588646648	0.5087214615768674	0.6964544361370251
12	sqrt	10	8	200	0.522371794871795	0.518301347345465	0.522244503862151	0.5059640036896722	0.6956923978352659
12	sqrt	10	4	200	0.522371794871795	0.518301347345465	0.522244503862151	0.5059640036896722	0.6956923978352659
12	sqrt	10	2	200	0.522371794871795	0.518301347345465	0.522244503862151	0.5059640036896722	0.6956923978352659
12	sqrt	10	10	200	0.522371794871795	0.518301347345465	0.522244503862151	0.5059640036896722	0.6956923978352659
8	log2	8	10	200	0.5221794871794871	0.5112352244705185	0.5153607340372046	0.5057037891768112	0.6942233996183097
