Data	ACC	Precision_macro	Recall_macro	F1_macro	AUC_ovr_macro	AUC_class0	AUC_class1	AUC_class2
train	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
valid	0.7216	0.7172	0.7149	0.7152	0.8472	0.8402	0.7995	0.902
test	0.5657	0.5684	0.5641	0.5661	0.7706	0.787	0.6613	0.8635
