Data	ACC	Precision_macro	Recall_macro	F1_macro	AUC_ovr_macro	AUC_class0	AUC_class1	AUC_class2
train	0.6963	0.7073	0.7046	0.6962	0.8798	0.8777	0.8659	0.8958
valid	0.6239	0.6508	0.6268	0.6223	0.8025	0.8633	0.7253	0.8188
test	0.5909	0.6435	0.5962	0.593	0.7807	0.8641	0.6435	0.8345
