Data	ACC	Precision_macro	Recall_macro	F1_macro	AUC_ovr_macro	AUC_class0	AUC_class1	AUC_class2
train	0.6368	0.6481	0.6351	0.6333	0.8147	0.8323	0.7626	0.8491
valid	0.5361	0.5539	0.5357	0.5309	0.7148	0.7687	0.6672	0.7086
test	0.5455	0.6127	0.5728	0.5477	0.7337	0.7093	0.6257	0.8662
