Data	ACC	Precision_macro	Recall_macro	F1_macro	AUC_ovr_macro	AUC_class0	AUC_class1	AUC_class2
train	0.7417	0.7408	0.7469	0.7415	0.8934	0.9039	0.853	0.9234
valid	0.5464	0.5479	0.546	0.5406	0.7562	0.804	0.6672	0.7974
test	0.5657	0.5642	0.5759	0.5603	0.7052	0.7251	0.5569	0.8335
