Data	ACC	Precision_macro	Recall_macro	F1_macro	AUC_ovr_macro	AUC_class0	AUC_class1	AUC_class2
train	0.6658	0.6652	0.6715	0.6634	0.8372	0.8385	0.8006	0.8724
valid	0.56	0.5579	0.5684	0.5503	0.7584	0.7867	0.6824	0.8062
test	0.5825	0.5853	0.5886	0.5781	0.6961	0.767	0.5282	0.7932
