C	class_weight	gamma	kernel	mean_valid_accuracy	mean_valid_precision_macro	mean_valid_recall_macro	mean_valid_f1_macro	mean_valid_auc_ovr_macro
0.1		100.0	linear	0.4456707317073171	0.43199004095120663	0.42858991498697385	0.4237148571349114	0.6136636659171807
0.1		1000.0	linear	0.4456707317073171	0.43199004095120663	0.42858991498697385	0.4237148571349114	0.6136636659171807
0.1		1.0	linear	0.4456707317073171	0.43199004095120663	0.42858991498697385	0.4237148571349114	0.6136636659171807
0.1		0.1	linear	0.4456707317073171	0.43199004095120663	0.42858991498697385	0.4237148571349114	0.6136636659171807
0.1		0.01	linear	0.4456707317073171	0.43199004095120663	0.42858991498697385	0.4237148571349114	0.6136636659171807
10.0	balanced	0.1	linear	0.4432317073170732	0.4283825373437031	0.425812137209196	0.42090953464995506	0.6144657958859774
100.0		1.0	linear	0.4432317073170732	0.4283825373437031	0.425812137209196	0.42090953464995506	0.6144657958859774
100.0		0.1	linear	0.4432317073170732	0.4283825373437031	0.425812137209196	0.42090953464995506	0.6144657958859774
100.0		0.01	linear	0.4432317073170732	0.4283825373437031	0.425812137209196	0.42090953464995506	0.6144657958859774
10.0	balanced	1000.0	linear	0.4432317073170732	0.4283825373437031	0.425812137209196	0.42090953464995506	0.6144657958859774
10.0	balanced	100.0	linear	0.4432317073170732	0.4283825373437031	0.425812137209196	0.42090953464995506	0.6144657958859774
10.0	balanced	1.0	linear	0.4432317073170732	0.4283825373437031	0.425812137209196	0.42090953464995506	0.6144657958859774
1.0		0.01	linear	0.4432317073170732	0.4283825373437031	0.425812137209196	0.42090953464995506	0.6144657958859774
10.0		0.01	linear	0.4432317073170732	0.4283825373437031	0.425812137209196	0.42090953464995506	0.6144657958859774
1.0	balanced	100.0	linear	0.4432317073170732	0.4283825373437031	0.425812137209196	0.42090953464995506	0.6144657958859774
10.0	balanced	0.01	linear	0.4432317073170732	0.4283825373437031	0.425812137209196	0.42090953464995506	0.6144657958859774
1.0		1.0	linear	0.4432317073170732	0.4283825373437031	0.425812137209196	0.42090953464995506	0.6144657958859774
10.0		1000.0	linear	0.4432317073170732	0.4283825373437031	0.425812137209196	0.42090953464995506	0.6144657958859774
1.0		100.0	linear	0.4432317073170732	0.4283825373437031	0.425812137209196	0.42090953464995506	0.6144657958859774
10.0		100.0	linear	0.4432317073170732	0.4283825373437031	0.425812137209196	0.42090953464995506	0.6144657958859774
1.0		1000.0	linear	0.4432317073170732	0.4283825373437031	0.425812137209196	0.42090953464995506	0.6144657958859774
10.0		1.0	linear	0.4432317073170732	0.4283825373437031	0.425812137209196	0.42090953464995506	0.6144657958859774
1.0	balanced	0.01	linear	0.4432317073170732	0.4283825373437031	0.425812137209196	0.42090953464995506	0.6144657958859774
10.0		0.1	linear	0.4432317073170732	0.4283825373437031	0.425812137209196	0.42090953464995506	0.6144657958859774
1.0	balanced	0.1	linear	0.4432317073170732	0.4283825373437031	0.425812137209196	0.42090953464995506	0.6144657958859774
1.0	balanced	1000.0	linear	0.4432317073170732	0.4283825373437031	0.425812137209196	0.42090953464995506	0.6144657958859774
1.0		0.1	linear	0.4432317073170732	0.4283825373437031	0.425812137209196	0.42090953464995506	0.6144657958859774
100.0		100.0	linear	0.4432317073170732	0.4283825373437031	0.425812137209196	0.42090953464995506	0.6144657958859774
100.0		1000.0	linear	0.4432317073170732	0.4283825373437031	0.425812137209196	0.42090953464995506	0.6144657958859774
100.0	balanced	0.01	linear	0.4432317073170732	0.4283825373437031	0.425812137209196	0.42090953464995506	0.6144657958859774
1000.0	balanced	1000.0	linear	0.4432317073170732	0.4283825373437031	0.425812137209196	0.42090953464995506	0.6144657958859774
1000.0	balanced	100.0	linear	0.4432317073170732	0.4283825373437031	0.425812137209196	0.42090953464995506	0.6144657958859774
1000.0	balanced	1.0	linear	0.4432317073170732	0.4283825373437031	0.425812137209196	0.42090953464995506	0.6144657958859774
1000.0	balanced	0.1	linear	0.4432317073170732	0.4283825373437031	0.425812137209196	0.42090953464995506	0.6144657958859774
1000.0	balanced	0.01	linear	0.4432317073170732	0.4283825373437031	0.425812137209196	0.42090953464995506	0.6144657958859774
1000.0		1000.0	linear	0.4432317073170732	0.4283825373437031	0.425812137209196	0.42090953464995506	0.6144657958859774
1000.0		100.0	linear	0.4432317073170732	0.4283825373437031	0.425812137209196	0.42090953464995506	0.6144657958859774
1000.0		1.0	linear	0.4432317073170732	0.4283825373437031	0.425812137209196	0.42090953464995506	0.6144657958859774
1000.0		0.1	linear	0.4432317073170732	0.4283825373437031	0.425812137209196	0.42090953464995506	0.6144657958859774
1000.0		0.01	linear	0.4432317073170732	0.4283825373437031	0.425812137209196	0.42090953464995506	0.6144657958859774
1.0	balanced	1.0	linear	0.4432317073170732	0.4283825373437031	0.425812137209196	0.42090953464995506	0.6144657958859774
100.0	balanced	1000.0	linear	0.4432317073170732	0.4283825373437031	0.425812137209196	0.42090953464995506	0.6144657958859774
100.0	balanced	100.0	linear	0.4432317073170732	0.4283825373437031	0.425812137209196	0.42090953464995506	0.6144657958859774
100.0	balanced	1.0	linear	0.4432317073170732	0.4283825373437031	0.425812137209196	0.42090953464995506	0.6144657958859774
100.0	balanced	0.1	linear	0.4432317073170732	0.4283825373437031	0.425812137209196	0.42090953464995506	0.6144657958859774
0.1	balanced	1000.0	linear	0.44079268292682927	0.426574545140974	0.4238513528954705	0.4189518626922831	0.6144132725126925
0.1	balanced	100.0	linear	0.44079268292682927	0.426574545140974	0.4238513528954705	0.4189518626922831	0.6144132725126925
0.1	balanced	1.0	linear	0.44079268292682927	0.426574545140974	0.4238513528954705	0.4189518626922831	0.6144132725126925
0.1	balanced	0.1	linear	0.44079268292682927	0.426574545140974	0.4238513528954705	0.4189518626922831	0.6144132725126925
0.1	balanced	0.01	linear	0.44079268292682927	0.426574545140974	0.4238513528954705	0.4189518626922831	0.6144132725126925
0.01	balanced	100.0	linear	0.4088414634146342	0.3869636602647438	0.3936488756341697	0.38631915453001053	0.6004740395614812
0.01	balanced	0.1	linear	0.4088414634146342	0.3869636602647438	0.3936488756341697	0.38631915453001053	0.6004740395614812
0.01	balanced	0.01	linear	0.4088414634146342	0.3869636602647438	0.3936488756341697	0.38631915453001053	0.6004740395614812
0.01	balanced	1000.0	linear	0.4088414634146342	0.3869636602647438	0.3936488756341697	0.38631915453001053	0.6004740395614812
0.01	balanced	1.0	linear	0.4088414634146342	0.3869636602647438	0.3936488756341697	0.38631915453001053	0.6004740395614812
0.01		0.01	linear	0.4063414634146342	0.38563335185626213	0.38866521550345084	0.3818310769019741	0.5977662010646898
0.01		0.1	linear	0.4063414634146342	0.38563335185626213	0.38866521550345084	0.3818310769019741	0.5977662010646898
0.01		1000.0	linear	0.4063414634146342	0.38563335185626213	0.38866521550345084	0.3818310769019741	0.5977662010646898
0.01		1.0	linear	0.4063414634146342	0.38563335185626213	0.38866521550345084	0.3818310769019741	0.5977662010646898
0.01		100.0	linear	0.4063414634146342	0.38563335185626213	0.38866521550345084	0.3818310769019741	0.5977662010646898
1.0	balanced	0.01	rbf	0.37390243902439024	0.20692273947691903	0.30911690433749256	0.2088139404682135	0.5683988700078081
10.0	balanced	0.01	rbf	0.3788414634146341	0.19028237147432195	0.31164958407605464	0.20315114309102472	0.597766494555577
100.0	balanced	0.01	rbf	0.3788414634146341	0.19028237147432195	0.31164958407605464	0.20315114309102472	0.597766494555577
10.0		0.01	rbf	0.3788414634146341	0.19028237147432195	0.31164958407605464	0.20315114309102472	0.597766494555577
1000.0		0.01	rbf	0.3788414634146341	0.19028237147432195	0.31164958407605464	0.20315114309102472	0.597766494555577
100.0		0.01	rbf	0.3788414634146341	0.19028237147432195	0.31164958407605464	0.20315114309102472	0.597766494555577
1000.0	balanced	0.01	rbf	0.3788414634146341	0.19028237147432195	0.31164958407605464	0.20315114309102472	0.597766494555577
100.0	balanced	100.0	rbf	0.4083536585365854	0.13611788617886178	0.33333333333333337	0.19328205571399765	0.5
100.0	balanced	1000.0	rbf	0.4083536585365854	0.13611788617886178	0.33333333333333337	0.19328205571399765	0.5
100.0	balanced	0.1	rbf	0.4083536585365854	0.13611788617886178	0.33333333333333337	0.19328205571399765	0.5245390000280479
100.0	balanced	1.0	rbf	0.4083536585365854	0.13611788617886178	0.33333333333333337	0.19328205571399765	0.5
0.01		1000.0	rbf	0.4083536585365854	0.13611788617886178	0.33333333333333337	0.19328205571399765	0.5
0.1		0.01	rbf	0.4083536585365854	0.13611788617886178	0.33333333333333337	0.19328205571399765	0.5781884831570239
0.1		0.1	rbf	0.4083536585365854	0.13611788617886178	0.33333333333333337	0.19328205571399765	0.5051251058273512
1000.0		0.1	rbf	0.4083536585365854	0.13611788617886178	0.33333333333333337	0.19328205571399765	0.5245390000280479
1.0	balanced	1.0	rbf	0.4083536585365854	0.13611788617886178	0.33333333333333337	0.19328205571399765	0.5
1000.0		1.0	rbf	0.4083536585365854	0.13611788617886178	0.33333333333333337	0.19328205571399765	0.5
1000.0		100.0	rbf	0.4083536585365854	0.13611788617886178	0.33333333333333337	0.19328205571399765	0.5
1.0	balanced	100.0	rbf	0.4083536585365854	0.13611788617886178	0.33333333333333337	0.19328205571399765	0.5
0.01		100.0	rbf	0.4083536585365854	0.13611788617886178	0.33333333333333337	0.19328205571399765	0.5
1000.0		1000.0	rbf	0.4083536585365854	0.13611788617886178	0.33333333333333337	0.19328205571399765	0.5
0.01		1.0	rbf	0.4083536585365854	0.13611788617886178	0.33333333333333337	0.19328205571399765	0.5
1000.0	balanced	0.1	rbf	0.4083536585365854	0.13611788617886178	0.33333333333333337	0.19328205571399765	0.5245390000280479
1000.0	balanced	1.0	rbf	0.4083536585365854	0.13611788617886178	0.33333333333333337	0.19328205571399765	0.5
0.01		0.1	rbf	0.4083536585365854	0.13611788617886178	0.33333333333333337	0.19328205571399765	0.5042431197499113
1000.0	balanced	100.0	rbf	0.4083536585365854	0.13611788617886178	0.33333333333333337	0.19328205571399765	0.5
100.0		1000.0	rbf	0.4083536585365854	0.13611788617886178	0.33333333333333337	0.19328205571399765	0.5
0.1		1.0	rbf	0.4083536585365854	0.13611788617886178	0.33333333333333337	0.19328205571399765	0.5
100.0		100.0	rbf	0.4083536585365854	0.13611788617886178	0.33333333333333337	0.19328205571399765	0.5
0.1		100.0	rbf	0.4083536585365854	0.13611788617886178	0.33333333333333337	0.19328205571399765	0.5
1.0	balanced	0.1	rbf	0.4083536585365854	0.13611788617886178	0.33333333333333337	0.19328205571399765	0.5260180028036334
1.0	balanced	1000.0	rbf	0.4083536585365854	0.13611788617886178	0.33333333333333337	0.19328205571399765	0.5
0.01		0.01	rbf	0.4083536585365854	0.13611788617886178	0.33333333333333337	0.19328205571399765	0.5822995489382425
10.0		0.1	rbf	0.4083536585365854	0.13611788617886178	0.33333333333333337	0.19328205571399765	0.5245390000280479
1.0		1000.0	rbf	0.4083536585365854	0.13611788617886178	0.33333333333333337	0.19328205571399765	0.5
10.0		1.0	rbf	0.4083536585365854	0.13611788617886178	0.33333333333333337	0.19328205571399765	0.5
1.0		100.0	rbf	0.4083536585365854	0.13611788617886178	0.33333333333333337	0.19328205571399765	0.5
10.0		100.0	rbf	0.4083536585365854	0.13611788617886178	0.33333333333333337	0.19328205571399765	0.5
1.0		1.0	rbf	0.4083536585365854	0.13611788617886178	0.33333333333333337	0.19328205571399765	0.5
10.0		1000.0	rbf	0.4083536585365854	0.13611788617886178	0.33333333333333337	0.19328205571399765	0.5
1.0		0.1	rbf	0.4083536585365854	0.13611788617886178	0.33333333333333337	0.19328205571399765	0.5171260568141516
10.0	balanced	0.1	rbf	0.4083536585365854	0.13611788617886178	0.33333333333333337	0.19328205571399765	0.5245390000280479
10.0	balanced	1.0	rbf	0.4083536585365854	0.13611788617886178	0.33333333333333337	0.19328205571399765	0.5
10.0	balanced	1000.0	rbf	0.4083536585365854	0.13611788617886178	0.33333333333333337	0.19328205571399765	0.5
100.0		0.1	rbf	0.4083536585365854	0.13611788617886178	0.33333333333333337	0.19328205571399765	0.5245390000280479
100.0		1.0	rbf	0.4083536585365854	0.13611788617886178	0.33333333333333337	0.19328205571399765	0.5
0.1		1000.0	rbf	0.4083536585365854	0.13611788617886178	0.33333333333333337	0.19328205571399765	0.5
1000.0	balanced	1000.0	rbf	0.4083536585365854	0.13611788617886178	0.33333333333333337	0.19328205571399765	0.5
10.0	balanced	100.0	rbf	0.4083536585365854	0.13611788617886178	0.33333333333333337	0.19328205571399765	0.5
1.0		0.01	rbf	0.3935975609756098	0.13775346196398827	0.32132352941176473	0.19275545766773838	0.5688917775278318
0.01	balanced	0.1	rbf	0.31707317073170727	0.1056910569105691	0.33333333333333337	0.16001105812426564	0.5273894895364836
0.01	balanced	1.0	rbf	0.31707317073170727	0.1056910569105691	0.33333333333333337	0.16001105812426564	0.5
0.01	balanced	0.01	rbf	0.31707317073170727	0.1056910569105691	0.33333333333333337	0.16001105812426564	0.47524042377571496
0.01	balanced	100.0	rbf	0.31707317073170727	0.1056910569105691	0.33333333333333337	0.16001105812426564	0.5
0.01	balanced	1000.0	rbf	0.31707317073170727	0.1056910569105691	0.33333333333333337	0.16001105812426564	0.5
0.1	balanced	1.0	rbf	0.2920731707317073	0.09735772357723575	0.33333333333333337	0.15067398996366807	0.5
0.1	balanced	0.1	rbf	0.2920731707317073	0.09735772357723575	0.33333333333333337	0.15067398996366807	0.5224152592097411
0.1	balanced	0.01	rbf	0.2920731707317073	0.09735772357723575	0.33333333333333337	0.15067398996366807	0.4765909747258458
0.1	balanced	1000.0	rbf	0.2920731707317073	0.09735772357723575	0.33333333333333337	0.15067398996366807	0.5
0.1	balanced	100.0	rbf	0.2920731707317073	0.09735772357723575	0.33333333333333337	0.15067398996366807	0.5
