max_depth	max_features	min_samples_leaf	min_samples_split	n_estimators	mean_valid_accuracy	mean_valid_precision_macro	mean_valid_recall_macro	mean_valid_f1_macro	mean_valid_auc_ovr_macro
8	log2	10	10	200	0.5044871794871796	0.4902682728921118	0.5030187622834681	0.48229273019063673	0.6902858533660723
8	log2	10	8	200	0.5044871794871796	0.4902682728921118	0.5030187622834681	0.48229273019063673	0.6902858533660723
8	log2	10	4	200	0.5044871794871796	0.4902682728921118	0.5030187622834681	0.48229273019063673	0.6902858533660723
8	log2	10	2	200	0.5044871794871796	0.4902682728921118	0.5030187622834681	0.48229273019063673	0.6902858533660723
12	log2	8	2	200	0.5018589743589743	0.48836085211085206	0.50090840532017	0.48184856814384525	0.686584744390669
12	log2	8	10	200	0.5018589743589743	0.48836085211085206	0.50090840532017	0.48184856814384525	0.686584744390669
12	log2	8	8	200	0.5018589743589743	0.48836085211085206	0.50090840532017	0.48184856814384525	0.686584744390669
12	log2	8	4	200	0.5018589743589743	0.48836085211085206	0.50090840532017	0.48184856814384525	0.686584744390669
10	sqrt	4	10	600	0.4966666666666667	0.4909264057522572	0.4965209218885689	0.4810960331346152	0.6882006539070324
6	log2	10	2	200	0.5044871794871795	0.48840161830486906	0.5030187622834681	0.48072031585434843	0.6890572596597393
6	log2	10	4	200	0.5044871794871795	0.48840161830486906	0.5030187622834681	0.48072031585434843	0.6890572596597393
6	log2	10	8	200	0.5044871794871795	0.48840161830486906	0.5030187622834681	0.48072031585434843	0.6890572596597393
6	log2	10	10	200	0.5044871794871795	0.48840161830486906	0.5030187622834681	0.48072031585434843	0.6890572596597393
10	log2	8	4	200	0.4968589743589743	0.48357657320892616	0.49723936194524426	0.477358710336173	0.6870695553716137
10	log2	8	8	200	0.4968589743589743	0.48357657320892616	0.49723936194524426	0.477358710336173	0.6870695553716137
10	log2	8	10	200	0.4968589743589743	0.48357657320892616	0.49723936194524426	0.477358710336173	0.6870695553716137
10	log2	8	2	200	0.4968589743589743	0.48357657320892616	0.49723936194524426	0.477358710336173	0.6870695553716137
10	log2	10	10	200	0.5019230769230769	0.4817110702907915	0.5002409845056903	0.4766862083496527	0.6909298438324752
12	log2	10	4	200	0.5019230769230769	0.4817110702907915	0.5002409845056903	0.4766862083496527	0.6912056331605522
12	log2	10	10	200	0.5019230769230769	0.4817110702907915	0.5002409845056903	0.4766862083496527	0.6912056331605522
12	log2	10	8	200	0.5019230769230769	0.4817110702907915	0.5002409845056903	0.4766862083496527	0.6912056331605522
10	log2	10	2	200	0.5019230769230769	0.4817110702907915	0.5002409845056903	0.4766862083496527	0.6909298438324752
10	log2	10	4	200	0.5019230769230769	0.4817110702907915	0.5002409845056903	0.4766862083496527	0.6909298438324752
12	log2	10	2	200	0.5019230769230769	0.4817110702907915	0.5002409845056903	0.4766862083496527	0.6912056331605522
10	log2	10	8	200	0.5019230769230769	0.4817110702907915	0.5002409845056903	0.4766862083496527	0.6909298438324752
6	sqrt	10	2	600	0.49416666666666664	0.4885672385749785	0.4946494926641985	0.4759804779526792	0.6924915934735818
6	sqrt	10	10	600	0.49416666666666664	0.4885672385749785	0.4946494926641985	0.4759804779526792	0.6924915934735818
6	sqrt	10	8	600	0.49416666666666664	0.4885672385749785	0.4946494926641985	0.4759804779526792	0.6924915934735818
6	sqrt	10	4	600	0.49416666666666664	0.4885672385749785	0.4946494926641985	0.4759804779526792	0.6924915934735818
12	sqrt	10	10	600	0.49423076923076925	0.4843021711404064	0.49361139677316146	0.4747244263523503	0.6922573849701275
12	sqrt	10	2	600	0.49423076923076925	0.4843021711404064	0.49361139677316146	0.4747244263523503	0.6922573849701275
12	sqrt	10	8	600	0.49423076923076925	0.4843021711404064	0.49361139677316146	0.4747244263523503	0.6922573849701275
12	sqrt	10	4	600	0.49423076923076925	0.4843021711404064	0.49361139677316146	0.4747244263523503	0.6922573849701275
10	sqrt	10	10	600	0.49423076923076925	0.48463713846066786	0.49361139677316146	0.4746787465419646	0.6925461766201012
10	sqrt	10	4	600	0.49423076923076925	0.48463713846066786	0.49361139677316146	0.4746787465419646	0.6925461766201012
10	sqrt	10	2	600	0.49423076923076925	0.48463713846066786	0.49361139677316146	0.4746787465419646	0.6925461766201012
10	sqrt	10	8	600	0.49423076923076925	0.48463713846066786	0.49361139677316146	0.4746787465419646	0.6925461766201012
8	sqrt	8	8	200	0.49416666666666664	0.48226515357707306	0.4924047602724073	0.4742605569375959	0.685066646692493
8	sqrt	8	10	200	0.49416666666666664	0.48226515357707306	0.4924047602724073	0.4742605569375959	0.685066646692493
8	sqrt	8	2	200	0.49416666666666664	0.48226515357707306	0.4924047602724073	0.4742605569375959	0.685066646692493
8	sqrt	8	4	200	0.49416666666666664	0.48226515357707306	0.4924047602724073	0.4742605569375959	0.685066646692493
8	log2	4	10	600	0.49929487179487186	0.48000483606520755	0.49704505461858395	0.47357219777317816	0.6802963415240091
8	log2	8	10	200	0.49423076923076925	0.47767659355894654	0.4957115841674665	0.4735280936730411	0.6867744376918448
8	log2	8	8	200	0.49423076923076925	0.47767659355894654	0.4957115841674665	0.4735280936730411	0.6867744376918448
8	log2	8	4	200	0.49423076923076925	0.47767659355894654	0.4957115841674665	0.4735280936730411	0.6867744376918448
8	log2	8	2	200	0.49423076923076925	0.47767659355894654	0.4957115841674665	0.4735280936730411	0.6867744376918448
10	log2	10	2	600	0.49935897435897436	0.47823932689257764	0.5007296951414599	0.4732722621113531	0.6934440508769775
10	log2	10	4	600	0.49935897435897436	0.47823932689257764	0.5007296951414599	0.4732722621113531	0.6934440508769775
10	log2	10	10	600	0.49935897435897436	0.47823932689257764	0.5007296951414599	0.4732722621113531	0.6934440508769775
12	log2	10	2	600	0.49935897435897436	0.47823932689257764	0.5007296951414599	0.4732722621113531	0.6932262276898056
12	log2	10	8	600	0.49935897435897436	0.47823932689257764	0.5007296951414599	0.4732722621113531	0.6932262276898056
12	log2	10	4	600	0.49935897435897436	0.47823932689257764	0.5007296951414599	0.4732722621113531	0.6932262276898056
12	log2	10	10	600	0.49935897435897436	0.47823932689257764	0.5007296951414599	0.4732722621113531	0.6932262276898056
