Data	ACC	Precision_macro	Recall_macro	F1_macro	AUC_ovr_macro	AUC_class0	AUC_class1	AUC_class2
train	0.6439	0.6485	0.6456	0.642	0.8336	0.8442	0.8033	0.8532
valid	0.6	0.6247	0.6014	0.5994	0.7762	0.8453	0.6996	0.7838
test	0.6204	0.6716	0.6274	0.6237	0.7835	0.8333	0.6581	0.8591
