mlp__activation	mlp__alpha	mlp__early_stopping	mlp__hidden_layer_sizes	mlp__learning_rate	mlp__max_iter	mlp__solver	mean_valid_accuracy	mean_valid_precision_macro	mean_valid_recall_macro	mean_valid_f1_macro	mean_valid_auc_ovr_macro
logistic	0.001	True	(100,)	invscaling	1000	adam	0.47840531561461797	0.453866785719727	0.4615600086188321	0.45021976004294934	0.629312906673465
logistic	0.001	True	(100,)	adaptive	1000	adam	0.47840531561461797	0.453866785719727	0.4615600086188321	0.45021976004294934	0.629312906673465
logistic	0.001	True	(100,)	constant	500	adam	0.47840531561461797	0.453866785719727	0.4615600086188321	0.45021976004294934	0.629312906673465
logistic	0.001	True	(100,)	adaptive	500	adam	0.47840531561461797	0.453866785719727	0.4615600086188321	0.45021976004294934	0.629312906673465
logistic	0.001	True	(100,)	constant	1000	adam	0.47840531561461797	0.453866785719727	0.4615600086188321	0.45021976004294934	0.629312906673465
logistic	0.001	True	(100,)	invscaling	500	adam	0.47840531561461797	0.453866785719727	0.4615600086188321	0.45021976004294934	0.629312906673465
identity	0.001	True	(50, 50)	constant	1000	sgd	0.45725359911406416	0.4543413350495394	0.45302377361200896	0.44570886183694397	0.6012506400255071
identity	0.001	True	(50, 50)	constant	500	sgd	0.45725359911406416	0.4543413350495394	0.45302377361200896	0.44570886183694397	0.6012506400255071
identity	0.01	True	(50, 50)	constant	500	sgd	0.45725359911406416	0.4543413350495394	0.45302377361200896	0.44570886183694397	0.6015083948368333
identity	0.1	True	(50, 50)	constant	1000	sgd	0.45725359911406416	0.4543413350495394	0.45302377361200896	0.44570886183694397	0.6022906789411618
identity	0.1	True	(50, 50)	constant	500	sgd	0.45725359911406416	0.4543413350495394	0.45302377361200896	0.44570886183694397	0.6022906789411618
identity	0.01	True	(50, 50)	constant	1000	sgd	0.45725359911406416	0.4543413350495394	0.45302377361200896	0.44570886183694397	0.6015083948368333
tanh	0.001	True	(100,)	constant	1000	adam	0.4498892580287929	0.4526940733558381	0.44369837678661206	0.4426145111250334	0.6152732896506101
tanh	0.001	True	(100,)	adaptive	1000	adam	0.4498892580287929	0.4526940733558381	0.44369837678661206	0.4426145111250334	0.6152732896506101
tanh	0.001	True	(100,)	invscaling	500	adam	0.4498892580287929	0.4526940733558381	0.44369837678661206	0.4426145111250334	0.6152732896506101
tanh	0.001	True	(100,)	constant	500	adam	0.4498892580287929	0.4526940733558381	0.44369837678661206	0.4426145111250334	0.6152732896506101
tanh	0.001	True	(100,)	adaptive	500	adam	0.4498892580287929	0.4526940733558381	0.44369837678661206	0.4426145111250334	0.6152732896506101
tanh	0.001	True	(100,)	invscaling	1000	adam	0.4498892580287929	0.4526940733558381	0.44369837678661206	0.4426145111250334	0.6152732896506101
logistic	0.01	True	(100,)	constant	1000	adam	0.46888150609080836	0.4421474495003907	0.45031153487035847	0.43808075507306166	0.6277095986717135
logistic	0.01	True	(100,)	invscaling	500	adam	0.46888150609080836	0.4421474495003907	0.45031153487035847	0.43808075507306166	0.6277095986717135
logistic	0.01	True	(100,)	constant	500	adam	0.46888150609080836	0.4421474495003907	0.45031153487035847	0.43808075507306166	0.6277095986717135
logistic	0.01	True	(100,)	invscaling	1000	adam	0.46888150609080836	0.4421474495003907	0.45031153487035847	0.43808075507306166	0.6277095986717135
logistic	0.01	True	(100,)	adaptive	500	adam	0.46888150609080836	0.4421474495003907	0.45031153487035847	0.43808075507306166	0.6277095986717135
logistic	0.01	True	(100,)	adaptive	1000	adam	0.46888150609080836	0.4421474495003907	0.45031153487035847	0.43808075507306166	0.6277095986717135
logistic	0.1	True	(100, 100)	constant	1000	adam	0.4596899224806202	0.45454454858866616	0.4481159771600948	0.43411874504343084	0.6373932661063437
logistic	0.1	True	(100, 100)	constant	500	adam	0.4596899224806202	0.45454454858866616	0.4481159771600948	0.43411874504343084	0.6373932661063437
logistic	0.1	True	(100, 100)	invscaling	500	adam	0.4596899224806202	0.45454454858866616	0.4481159771600948	0.43411874504343084	0.6373932661063437
logistic	0.1	True	(100, 100)	invscaling	1000	adam	0.4596899224806202	0.45454454858866616	0.4481159771600948	0.43411874504343084	0.6373932661063437
logistic	0.1	True	(100, 100)	adaptive	500	adam	0.4596899224806202	0.45454454858866616	0.4481159771600948	0.43411874504343084	0.6373932661063437
logistic	0.1	True	(100, 100)	adaptive	1000	adam	0.4596899224806202	0.45454454858866616	0.4481159771600948	0.43411874504343084	0.6373932661063437
logistic	0.01	True	(100,)	invscaling	1000	lbfgs	0.4528239202657807	0.4407509963663214	0.4410045428427781	0.4324966732998424	0.6032007697106394
logistic	0.01	True	(100,)	adaptive	1000	lbfgs	0.4528239202657807	0.4407509963663214	0.4410045428427781	0.4324966732998424	0.6032007697106394
logistic	0.01	True	(100,)	adaptive	500	lbfgs	0.4528239202657807	0.4407509963663214	0.4410045428427781	0.4324966732998424	0.6032007697106394
logistic	0.01	True	(100,)	constant	500	lbfgs	0.4528239202657807	0.4407509963663214	0.4410045428427781	0.4324966732998424	0.6032007697106394
logistic	0.01	True	(100,)	constant	1000	lbfgs	0.4528239202657807	0.4407509963663214	0.4410045428427781	0.4324966732998424	0.6032007697106394
logistic	0.01	True	(100,)	invscaling	500	lbfgs	0.4528239202657807	0.4407509963663214	0.4410045428427781	0.4324966732998424	0.6032007697106394
identity	0.01	True	(50, 50)	adaptive	500	sgd	0.4429678848283499	0.4325574506569594	0.43288488472312	0.4276249565978663	0.5879892222105179
identity	0.01	True	(50, 50)	adaptive	1000	sgd	0.4429678848283499	0.4325574506569594	0.43288488472312	0.4276249565978663	0.5879892222105179
tanh	0.1	True	(100,)	constant	500	adam	0.43560354374307864	0.44141992295630067	0.4291900093370681	0.42749616070952856	0.6188354914648708
tanh	0.1	True	(100,)	constant	1000	adam	0.43560354374307864	0.44141992295630067	0.4291900093370681	0.42749616070952856	0.6188354914648708
tanh	0.1	True	(100,)	invscaling	1000	adam	0.43560354374307864	0.44141992295630067	0.4291900093370681	0.42749616070952856	0.6188354914648708
tanh	0.1	True	(100,)	adaptive	500	adam	0.43560354374307864	0.44141992295630067	0.4291900093370681	0.42749616070952856	0.6188354914648708
tanh	0.1	True	(100,)	adaptive	1000	adam	0.43560354374307864	0.44141992295630067	0.4291900093370681	0.42749616070952856	0.6188354914648708
tanh	0.1	True	(100,)	invscaling	500	adam	0.43560354374307864	0.44141992295630067	0.4291900093370681	0.42749616070952856	0.6188354914648708
tanh	0.01	True	(100,)	invscaling	500	adam	0.4357142857142858	0.4399955012021575	0.42901583710407243	0.42669867885229545	0.6170391227705062
tanh	0.01	True	(100,)	invscaling	1000	adam	0.4357142857142858	0.4399955012021575	0.42901583710407243	0.42669867885229545	0.6170391227705062
tanh	0.01	True	(100,)	adaptive	1000	adam	0.4357142857142858	0.4399955012021575	0.42901583710407243	0.42669867885229545	0.6170391227705062
