Target	G1	Fingerprint_type	Scaler	SVM ACC	SVM AUC	SVM PR	SVM SP	MLP ACC	MLP AUC	MLP PR	MLP SP
30	30	ECFP2_256bits	Robust	Train 0.92 | Valid 0.61 | Test 0.64	Train 0.90 | Valid 0.74 | Test 0.75	Train 0.92 | Valid 0.61 | Test 0.63	Train 0.92 | Valid 0.61 | Test 0.63	Train 1.00 | Valid 0.57 | Test 0.58	Train 1.00 | Valid 0.74 | Test 0.75	Train 1.00 | Valid 0.56 | Test 0.59	Train 1.00 | Valid 0.55 | Test 0.59
30	30	ECFP2_256bits	Standard	Train 0.79 | Valid 0.68 | Test 0.58	Train 0.93 | Valid 0.83 | Test 0.80	Train 0.79 | Valid 0.69 | Test 0.58	Train 0.79 | Valid 0.67 | Test 0.57	Train 0.57 | Valid 0.44 | Test 0.44	Train 0.72 | Valid 0.66 | Test 0.62	Train 0.57 | Valid 0.45 | Test 0.48	Train 0.57 | Valid 0.44 | Test 0.44
30	30	ECFP2_256bits	MinMax	Train 0.88 | Valid 0.69 | Test 0.63	Train 0.97 | Valid 0.86 | Test 0.85	Train 0.88 | Valid 0.71 | Test 0.69	Train 0.89 | Valid 0.69 | Test 0.63	Train 0.69 | Valid 0.59 | Test 0.62	Train 0.86 | Valid 0.78 | Test 0.76	Train 0.69 | Valid 0.58 | Test 0.64	Train 0.69 | Valid 0.58 | Test 0.61
30	30	ECFP2_512bits	Robust	Train 0.99 | Valid 0.61 | Test 0.67	Train 0.85 | Valid 0.69 | Test 0.73	Train 0.99 | Valid 0.61 | Test 0.66	Train 0.99 | Valid 0.58 | Test 0.66	Train 1.00 | Valid 0.61 | Test 0.67	Train 1.00 | Valid 0.76 | Test 0.81	Train 1.00 | Valid 0.61 | Test 0.67	Train 1.00 | Valid 0.61 | Test 0.67
30	30	ECFP2_512bits	Standard	Train 0.87 | Valid 0.67 | Test 0.57	Train 0.96 | Valid 0.82 | Test 0.79	Train 0.87 | Valid 0.66 | Test 0.54	Train 0.86 | Valid 0.65 | Test 0.55	Train 0.56 | Valid 0.52 | Test 0.46	Train 0.75 | Valid 0.69 | Test 0.60	Train 0.57 | Valid 0.52 | Test 0.50	Train 0.56 | Valid 0.51 | Test 0.46
30	30	ECFP2_512bits	MinMax	Train 0.73 | Valid 0.59 | Test 0.63	Train 0.88 | Valid 0.80 | Test 0.79	Train 0.73 | Valid 0.59 | Test 0.66	Train 0.73 | Valid 0.57 | Test 0.62	Train 0.72 | Valid 0.62 | Test 0.60	Train 0.88 | Valid 0.79 | Test 0.79	Train 0.73 | Valid 0.64 | Test 0.64	Train 0.72 | Valid 0.62 | Test 0.60
30	30	ECFP4_256bits	Robust	Train 0.99 | Valid 0.52 | Test 0.60	Train 0.90 | Valid 0.74 | Test 0.74	Train 0.99 | Valid 0.53 | Test 0.59	Train 0.99 | Valid 0.52 | Test 0.58	Train 0.81 | Valid 0.42 | Test 0.41	Train 0.92 | Valid 0.60 | Test 0.58	Train 0.81 | Valid 0.42 | Test 0.41	Train 0.81 | Valid 0.41 | Test 0.41
30	30	ECFP4_256bits	Standard	Train 0.82 | Valid 0.62 | Test 0.57	Train 0.93 | Valid 0.82 | Test 0.80	Train 0.81 | Valid 0.64 | Test 0.58	Train 0.82 | Valid 0.62 | Test 0.57	Train 0.84 | Valid 0.61 | Test 0.59	Train 0.93 | Valid 0.78 | Test 0.74	Train 0.84 | Valid 0.63 | Test 0.60	Train 0.85 | Valid 0.62 | Test 0.59
30	30	ECFP4_256bits	MinMax	Train 0.66 | Valid 0.60 | Test 0.60	Train 0.83 | Valid 0.79 | Test 0.77	Train 0.66 | Valid 0.63 | Test 0.65	Train 0.66 | Valid 0.60 | Test 0.61	Train 0.83 | Valid 0.62 | Test 0.57	Train 0.93 | Valid 0.79 | Test 0.76	Train 0.83 | Valid 0.64 | Test 0.58	Train 0.83 | Valid 0.63 | Test 0.58
30	30	ECFP4_512bits	Robust	Train 1.00 | Valid 0.60 | Test 0.60	Train 0.98 | Valid 0.77 | Test 0.80	Train 1.00 | Valid 0.59 | Test 0.59	Train 1.00 | Valid 0.59 | Test 0.59	Train 0.76 | Valid 0.54 | Test 0.53	Train 0.89 | Valid 0.72 | Test 0.66	Train 0.76 | Valid 0.53 | Test 0.51	Train 0.75 | Valid 0.53 | Test 0.51
30	30	ECFP4_512bits	Standard	Train 1.00 | Valid 0.66 | Test 0.58	Train 0.98 | Valid 0.80 | Test 0.76	Train 1.00 | Valid 0.65 | Test 0.58	Train 1.00 | Valid 0.65 | Test 0.58	Train 0.72 | Valid 0.53 | Test 0.55	Train 0.88 | Valid 0.72 | Test 0.71	Train 0.72 | Valid 0.52 | Test 0.56	Train 0.72 | Valid 0.52 | Test 0.54
30	30	ECFP4_512bits	MinMax	Train 0.66 | Valid 0.62 | Test 0.57	Train 0.84 | Valid 0.80 | Test 0.78	Train 0.67 | Valid 0.67 | Test 0.66	Train 0.67 | Valid 0.63 | Test 0.58	Train 0.64 | Valid 0.52 | Test 0.37	Train 0.81 | Valid 0.68 | Test 0.60	Train 0.65 | Valid 0.55 | Test 0.38	Train 0.65 | Valid 0.53 | Test 0.37
30	30	ECFP6_256bits	Robust	Train 1.00 | Valid 0.52 | Test 0.49	Train 0.78 | Valid 0.62 | Test 0.67	Train 1.00 | Valid 0.49 | Test 0.48	Train 1.00 | Valid 0.50 | Test 0.47	Train 0.87 | Valid 0.56 | Test 0.49	Train 0.95 | Valid 0.71 | Test 0.66	Train 0.87 | Valid 0.56 | Test 0.51	Train 0.87 | Valid 0.55 | Test 0.48
30	30	ECFP6_256bits	Standard	Train 0.84 | Valid 0.62 | Test 0.53	Train 0.89 | Valid 0.75 | Test 0.72	Train 0.84 | Valid 0.60 | Test 0.50	Train 0.83 | Valid 0.60 | Test 0.51	Train 0.79 | Valid 0.52 | Test 0.50	Train 0.91 | Valid 0.71 | Test 0.66	Train 0.79 | Valid 0.52 | Test 0.51	Train 0.79 | Valid 0.51 | Test 0.49
30	30	ECFP6_256bits	MinMax	Train 0.69 | Valid 0.61 | Test 0.55	Train 0.86 | Valid 0.78 | Test 0.76	Train 0.70 | Valid 0.64 | Test 0.60	Train 0.70 | Valid 0.61 | Test 0.55	Train 0.62 | Valid 0.44 | Test 0.46	Train 0.79 | Valid 0.62 | Test 0.65	Train 0.62 | Valid 0.44 | Test 0.46	Train 0.62 | Valid 0.43 | Test 0.46
30	30	ECFP6_512bits	Robust	Train 1.00 | Valid 0.64 | Test 0.55	Train 0.98 | Valid 0.80 | Test 0.75	Train 1.00 | Valid 0.63 | Test 0.52	Train 1.00 | Valid 0.63 | Test 0.53	Train 1.00 | Valid 0.63 | Test 0.58	Train 1.00 | Valid 0.82 | Test 0.78	Train 1.00 | Valid 0.63 | Test 0.55	Train 1.00 | Valid 0.63 | Test 0.56
30	30	ECFP6_512bits	Standard	Train 0.97 | Valid 0.63 | Test 0.61	Train 0.99 | Valid 0.81 | Test 0.77	Train 0.96 | Valid 0.63 | Test 0.59	Train 0.96 | Valid 0.62 | Test 0.59	Train 1.00 | Valid 0.71 | Test 0.68	Train 1.00 | Valid 0.84 | Test 0.80	Train 1.00 | Valid 0.71 | Test 0.67	Train 1.00 | Valid 0.70 | Test 0.67
30	30	ECFP6_512bits	MinMax	Train 0.70 | Valid 0.62 | Test 0.59	Train 0.88 | Valid 0.80 | Test 0.78	Train 0.71 | Valid 0.65 | Test 0.64	Train 0.70 | Valid 0.63 | Test 0.60	Train 0.85 | Valid 0.61 | Test 0.60	Train 0.96 | Valid 0.79 | Test 0.78	Train 0.85 | Valid 0.60 | Test 0.59	Train 0.85 | Valid 0.59 | Test 0.58
