mlp__activation	mlp__alpha	mlp__early_stopping	mlp__hidden_layer_sizes	mlp__learning_rate	mlp__max_iter	mlp__solver	mean_valid_accuracy	mean_valid_precision_macro	mean_valid_recall_macro	mean_valid_f1_macro	mean_valid_auc_ovr_macro
tanh	0.01	True	(100,)	constant	500	adam	0.46115853658536593	0.4597529567382509	0.4596728026875086	0.449498536621725	0.6339823024005978
tanh	0.01	True	(100,)	constant	1000	adam	0.46115853658536593	0.4597529567382509	0.4596728026875086	0.449498536621725	0.6339823024005978
tanh	0.01	True	(100,)	adaptive	1000	adam	0.46115853658536593	0.4597529567382509	0.4596728026875086	0.449498536621725	0.6339823024005978
tanh	0.01	True	(100,)	adaptive	500	adam	0.46115853658536593	0.4597529567382509	0.4596728026875086	0.449498536621725	0.6339823024005978
tanh	0.01	True	(100,)	invscaling	1000	adam	0.46115853658536593	0.4597529567382509	0.4596728026875086	0.449498536621725	0.6339823024005978
tanh	0.01	True	(100,)	invscaling	500	adam	0.46115853658536593	0.4597529567382509	0.4596728026875086	0.449498536621725	0.6339823024005978
tanh	0.1	True	(50, 50)	adaptive	1000	adam	0.4581707317073171	0.4578945402436115	0.4525261095114036	0.4453459520519047	0.6320042743286086
tanh	0.1	True	(50, 50)	adaptive	500	adam	0.4581707317073171	0.4578945402436115	0.4525261095114036	0.4453459520519047	0.6320042743286086
tanh	0.1	True	(50, 50)	invscaling	1000	adam	0.4581707317073171	0.4578945402436115	0.4525261095114036	0.4453459520519047	0.6320042743286086
tanh	0.1	True	(50, 50)	invscaling	500	adam	0.4581707317073171	0.4578945402436115	0.4525261095114036	0.4453459520519047	0.6320042743286086
tanh	0.1	True	(50, 50)	constant	1000	adam	0.4581707317073171	0.4578945402436115	0.4525261095114036	0.4453459520519047	0.6320042743286086
tanh	0.1	True	(50, 50)	constant	500	adam	0.4581707317073171	0.4578945402436115	0.4525261095114036	0.4453459520519047	0.6320042743286086
tanh	0.001	True	(50, 50)	constant	1000	adam	0.4581707317073171	0.45716611117926903	0.44978489647607295	0.44448411251887654	0.6288702079787925
tanh	0.001	True	(50, 50)	invscaling	500	adam	0.4581707317073171	0.45716611117926903	0.44978489647607295	0.44448411251887654	0.6288702079787925
tanh	0.001	True	(50, 50)	invscaling	1000	adam	0.4581707317073171	0.45716611117926903	0.44978489647607295	0.44448411251887654	0.6288702079787925
tanh	0.001	True	(50, 50)	adaptive	500	adam	0.4581707317073171	0.45716611117926903	0.44978489647607295	0.44448411251887654	0.6288702079787925
tanh	0.001	True	(50, 50)	constant	500	adam	0.4581707317073171	0.45716611117926903	0.44978489647607295	0.44448411251887654	0.6288702079787925
tanh	0.001	True	(50, 50)	adaptive	1000	adam	0.4581707317073171	0.45716611117926903	0.44978489647607295	0.44448411251887654	0.6288702079787925
tanh	0.001	True	(100,)	adaptive	500	adam	0.4536585365853659	0.45410318983848397	0.4515288632935691	0.44329178041496886	0.6323184626351057
tanh	0.001	True	(100,)	invscaling	1000	adam	0.4536585365853659	0.45410318983848397	0.4515288632935691	0.44329178041496886	0.6323184626351057
tanh	0.001	True	(100,)	adaptive	1000	adam	0.4536585365853659	0.45410318983848397	0.4515288632935691	0.44329178041496886	0.6323184626351057
tanh	0.001	True	(100,)	invscaling	500	adam	0.4536585365853659	0.45410318983848397	0.4515288632935691	0.44329178041496886	0.6323184626351057
tanh	0.001	True	(100,)	constant	500	adam	0.4536585365853659	0.45410318983848397	0.4515288632935691	0.44329178041496886	0.6323184626351057
tanh	0.001	True	(100,)	constant	1000	adam	0.4536585365853659	0.45410318983848397	0.4515288632935691	0.44329178041496886	0.6323184626351057
identity	0.01	True	(50, 50)	adaptive	1000	adam	0.45317073170731703	0.45883637618544737	0.44627353855295027	0.4427546853208829	0.6297122349066506
identity	0.01	True	(50, 50)	constant	1000	adam	0.45317073170731703	0.45883637618544737	0.44627353855295027	0.4427546853208829	0.6297122349066506
identity	0.01	True	(50, 50)	adaptive	500	adam	0.45317073170731703	0.45883637618544737	0.44627353855295027	0.4427546853208829	0.6297122349066506
identity	0.01	True	(50, 50)	constant	500	adam	0.45317073170731703	0.45883637618544737	0.44627353855295027	0.4427546853208829	0.6297122349066506
identity	0.01	True	(50, 50)	invscaling	500	adam	0.45317073170731703	0.45883637618544737	0.44627353855295027	0.4427546853208829	0.6297122349066506
identity	0.01	True	(50, 50)	invscaling	1000	adam	0.45317073170731703	0.45883637618544737	0.44627353855295027	0.4427546853208829	0.6297122349066506
identity	0.001	True	(50, 50)	adaptive	500	adam	0.45317073170731703	0.45365906324497657	0.4495515105809223	0.4419206711119199	0.6259796970236098
identity	0.001	True	(50, 50)	invscaling	1000	adam	0.45317073170731703	0.45365906324497657	0.4495515105809223	0.4419206711119199	0.6259796970236098
identity	0.001	True	(50, 50)	adaptive	1000	adam	0.45317073170731703	0.45365906324497657	0.4495515105809223	0.4419206711119199	0.6259796970236098
identity	0.001	True	(50, 50)	invscaling	500	adam	0.45317073170731703	0.45365906324497657	0.4495515105809223	0.4419206711119199	0.6259796970236098
identity	0.001	True	(50, 50)	constant	1000	adam	0.45317073170731703	0.45365906324497657	0.4495515105809223	0.4419206711119199	0.6259796970236098
identity	0.001	True	(50, 50)	constant	500	adam	0.45317073170731703	0.45365906324497657	0.4495515105809223	0.4419206711119199	0.6259796970236098
identity	0.01	True	(100, 100)	adaptive	500	adam	0.4533536585365853	0.45442104421206586	0.44372657571186985	0.44116587147924113	0.6083710854655345
identity	0.01	True	(100, 100)	adaptive	1000	adam	0.4533536585365853	0.45442104421206586	0.44372657571186985	0.44116587147924113	0.6083710854655345
identity	0.01	True	(100, 100)	constant	1000	adam	0.4533536585365853	0.45442104421206586	0.44372657571186985	0.44116587147924113	0.6083710854655345
identity	0.01	True	(100, 100)	invscaling	500	adam	0.4533536585365853	0.45442104421206586	0.44372657571186985	0.44116587147924113	0.6083710854655345
identity	0.01	True	(100, 100)	invscaling	1000	adam	0.4533536585365853	0.45442104421206586	0.44372657571186985	0.44116587147924113	0.6083710854655345
identity	0.01	True	(100, 100)	constant	500	adam	0.4533536585365853	0.45442104421206586	0.44372657571186985	0.44116587147924113	0.6083710854655345
tanh	0.001	True	(100, 100)	invscaling	500	adam	0.4560975609756097	0.4457568817205041	0.44778983271630335	0.44016343213761033	0.6256825536247866
tanh	0.001	True	(100, 100)	adaptive	500	adam	0.4560975609756097	0.4457568817205041	0.44778983271630335	0.44016343213761033	0.6256825536247866
tanh	0.001	True	(100, 100)	constant	1000	adam	0.4560975609756097	0.4457568817205041	0.44778983271630335	0.44016343213761033	0.6256825536247866
tanh	0.001	True	(100, 100)	adaptive	1000	adam	0.4560975609756097	0.4457568817205041	0.44778983271630335	0.44016343213761033	0.6256825536247866
tanh	0.001	True	(100, 100)	invscaling	1000	adam	0.4560975609756097	0.4457568817205041	0.44778983271630335	0.44016343213761033	0.6256825536247866
tanh	0.001	True	(100, 100)	constant	500	adam	0.4560975609756097	0.4457568817205041	0.44778983271630335	0.44016343213761033	0.6256825536247866
logistic	0.1	True	(100,)	constant	1000	adam	0.4560365853658537	0.4784963576165401	0.46532291238173595	0.4398473904182227	0.6365347794884865
logistic	0.1	True	(100,)	adaptive	1000	adam	0.4560365853658537	0.4784963576165401	0.46532291238173595	0.4398473904182227	0.6365347794884865
logistic	0.1	True	(100,)	invscaling	500	adam	0.4560365853658537	0.4784963576165401	0.46532291238173595	0.4398473904182227	0.6365347794884865
logistic	0.1	True	(100,)	constant	500	adam	0.4560365853658537	0.4784963576165401	0.46532291238173595	0.4398473904182227	0.6365347794884865
logistic	0.1	True	(100,)	adaptive	500	adam	0.4560365853658537	0.4784963576165401	0.46532291238173595	0.4398473904182227	0.6365347794884865
logistic	0.1	True	(100,)	invscaling	1000	adam	0.4560365853658537	0.4784963576165401	0.46532291238173595	0.4398473904182227	0.6365347794884865
identity	0.001	True	(100, 100)	constant	500	adam	0.4534146341463415	0.4509921287862465	0.44655291603821023	0.43854409652087867	0.6130252239648598
identity	0.001	True	(100, 100)	invscaling	500	adam	0.4534146341463415	0.4509921287862465	0.44655291603821023	0.43854409652087867	0.6130252239648598
identity	0.001	True	(100, 100)	invscaling	1000	adam	0.4534146341463415	0.4509921287862465	0.44655291603821023	0.43854409652087867	0.6130252239648598
identity	0.001	True	(100, 100)	adaptive	500	adam	0.4534146341463415	0.4509921287862465	0.44655291603821023	0.43854409652087867	0.6130252239648598
identity	0.001	True	(100, 100)	adaptive	1000	adam	0.4534146341463415	0.4509921287862465	0.44655291603821023	0.43854409652087867	0.6130252239648598
identity	0.001	True	(100, 100)	constant	1000	adam	0.4534146341463415	0.4509921287862465	0.44655291603821023	0.43854409652087867	0.6130252239648598
identity	0.001	True	(100,)	constant	1000	adam	0.45128048780487806	0.45031184229713644	0.4506618789707025	0.4379226662418755	0.6291146025188701
identity	0.001	True	(100,)	adaptive	1000	adam	0.45128048780487806	0.45031184229713644	0.4506618789707025	0.4379226662418755	0.6291146025188701
identity	0.001	True	(100,)	constant	500	adam	0.45128048780487806	0.45031184229713644	0.4506618789707025	0.4379226662418755	0.6291146025188701
identity	0.001	True	(100,)	invscaling	500	adam	0.45128048780487806	0.45031184229713644	0.4506618789707025	0.4379226662418755	0.6291146025188701
identity	0.001	True	(100,)	invscaling	1000	adam	0.45128048780487806	0.45031184229713644	0.4506618789707025	0.4379226662418755	0.6291146025188701
identity	0.001	True	(100,)	adaptive	500	adam	0.45128048780487806	0.45031184229713644	0.4506618789707025	0.4379226662418755	0.6291146025188701
tanh	0.01	True	(100, 100)	constant	500	adam	0.4510975609756097	0.44663432671559605	0.4443176104940811	0.4367637991352609	0.6228288619779914
tanh	0.01	True	(100, 100)	adaptive	1000	adam	0.4510975609756097	0.44663432671559605	0.4443176104940811	0.4367637991352609	0.6228288619779914
tanh	0.01	True	(100, 100)	constant	1000	adam	0.4510975609756097	0.44663432671559605	0.4443176104940811	0.4367637991352609	0.6228288619779914
tanh	0.01	True	(100, 100)	adaptive	500	adam	0.4510975609756097	0.44663432671559605	0.4443176104940811	0.4367637991352609	0.6228288619779914
tanh	0.01	True	(100, 100)	invscaling	1000	adam	0.4510975609756097	0.44663432671559605	0.4443176104940811	0.4367637991352609	0.6228288619779914
tanh	0.01	True	(100, 100)	invscaling	500	adam	0.4510975609756097	0.44663432671559605	0.4443176104940811	0.4367637991352609	0.6228288619779914
