Data	ACC	Precision_macro	Recall_macro	F1_macro	AUC_ovr_macro	AUC_class0	AUC_class1	AUC_class2
train	0.9599	0.9607	0.9569	0.9585	0.9862	0.9858	0.9799	0.9929
valid	0.6381	0.6296	0.6259	0.6264	0.8034	0.8441	0.7347	0.8314
test	0.6111	0.5838	0.5964	0.5881	0.7853	0.8373	0.654	0.8646
