Data	ACC	Precision_macro	Recall_macro	F1_macro	AUC_ovr_macro	AUC_class0	AUC_class1	AUC_class2
train	0.5685	0.5711	0.5674	0.5662	0.721	0.7516	0.6735	0.738
valid	0.4404	0.4495	0.4395	0.4354	0.6627	0.7034	0.608	0.6768
test	0.4364	0.4781	0.4394	0.4286	0.6204	0.6197	0.5855	0.6561
