Data	ACC	Precision_macro	Recall_macro	F1_macro	AUC_ovr_macro	AUC_class0	AUC_class1	AUC_class2
train	0.8447	0.8421	0.846	0.843	0.9277	0.9415	0.9079	0.9336
valid	0.6147	0.6267	0.6168	0.6138	0.7809	0.811	0.7224	0.8095
test	0.5909	0.5967	0.591	0.5837	0.7394	0.7742	0.6011	0.843
