Data	ACC	Precision_macro	Recall_macro	F1_macro	AUC_ovr_macro	AUC_class0	AUC_class1	AUC_class2
train	0.8286	0.8263	0.8419	0.8287	0.9385	0.9374	0.9167	0.9615
valid	0.6392	0.6451	0.6498	0.6403	0.8453	0.8563	0.8015	0.8781
test	0.6465	0.6465	0.6584	0.6455	0.8214	0.84	0.7291	0.8952
