Data	ACC	Precision_macro	Recall_macro	F1_macro	AUC_ovr_macro	AUC_class0	AUC_class1	AUC_class2
train	1.0	1.0	1.0	1.0	0.9824	0.971	0.9927	0.9835
valid	0.6381	0.6529	0.6242	0.6286	0.7873	0.8338	0.7013	0.8268
test	0.6204	0.598	0.5996	0.5904	0.7704	0.8254	0.6305	0.8552
