mlp__activation	mlp__alpha	mlp__early_stopping	mlp__hidden_layer_sizes	mlp__learning_rate	mlp__max_iter	mlp__solver	mean_valid_accuracy	mean_valid_precision_macro	mean_valid_recall_macro	mean_valid_f1_macro	mean_valid_auc_ovr_macro
relu	0.1	True	(100,)	adaptive	500	sgd	0.4267995570321152	0.43127724227956427	0.4248069740716799	0.4186299245842651	0.5742571286255773
relu	0.1	True	(100,)	adaptive	1000	sgd	0.4267995570321152	0.43127724227956427	0.4248069740716799	0.4186299245842651	0.5742571286255773
relu	0.01	True	(100,)	adaptive	1000	sgd	0.42441860465116277	0.4262772422795643	0.4217621022768082	0.41606242040385777	0.5760407026505305
relu	0.001	True	(100,)	adaptive	500	sgd	0.42441860465116277	0.4262772422795643	0.4217621022768082	0.41606242040385777	0.5757920289104776
relu	0.001	True	(100,)	adaptive	1000	sgd	0.42441860465116277	0.4262772422795643	0.4217621022768082	0.41606242040385777	0.5757920289104776
relu	0.01	True	(100,)	adaptive	500	sgd	0.42441860465116277	0.4262772422795643	0.4217621022768082	0.41606242040385777	0.5760407026505305
tanh	0.01	True	(100,)	constant	500	adam	0.42236987818383165	0.4202066074047498	0.4195647489765137	0.4144708790251011	0.5780744236876939
tanh	0.01	True	(100,)	adaptive	1000	adam	0.42236987818383165	0.4202066074047498	0.4195647489765137	0.4144708790251011	0.5780744236876939
tanh	0.01	True	(100,)	adaptive	500	adam	0.42236987818383165	0.4202066074047498	0.4195647489765137	0.4144708790251011	0.5780744236876939
tanh	0.01	True	(100,)	invscaling	1000	adam	0.42236987818383165	0.4202066074047498	0.4195647489765137	0.4144708790251011	0.5780744236876939
tanh	0.01	True	(100,)	invscaling	500	adam	0.42236987818383165	0.4202066074047498	0.4195647489765137	0.4144708790251011	0.5780744236876939
tanh	0.01	True	(100,)	constant	1000	adam	0.42236987818383165	0.4202066074047498	0.4195647489765137	0.4144708790251011	0.5780744236876939
identity	0.1	True	(100,)	adaptive	1000	sgd	0.4243078626799557	0.4246162611897907	0.4190902643108526	0.41313736882072255	0.5697784249520236
identity	0.1	True	(100,)	adaptive	500	sgd	0.4243078626799557	0.4246162611897907	0.4190902643108526	0.41313736882072255	0.5697784249520236
logistic	0.1	True	(100,)	adaptive	1000	adam	0.4294019933554818	0.41972731450982226	0.41647723191840835	0.4106583832981312	0.5919128553863005
logistic	0.1	True	(100,)	adaptive	500	adam	0.4294019933554818	0.41972731450982226	0.41647723191840835	0.4106583832981312	0.5919128553863005
