C	class_weight	gamma	kernel	mean_valid_accuracy	mean_valid_precision_macro	mean_valid_recall_macro	mean_valid_f1_macro	mean_valid_auc_ovr_macro
1.0	balanced	0.1	rbf	0.5049154334038055	0.5253357984763625	0.4988800904977375	0.49604185641855486	0.6735958257209947
1.0	balanced	0.01	rbf	0.49365750528541225	0.5132436035993042	0.49614756158873813	0.48691772045874737	0.6712720437262923
0.1	balanced	1000.0	linear	0.4957188160676533	0.49374051086512394	0.4879135243841127	0.4818174831526492	0.6516673970003309
0.1	balanced	100.0	linear	0.4957188160676533	0.49374051086512394	0.4879135243841127	0.4818174831526492	0.6516673970003309
0.1	balanced	0.01	linear	0.4957188160676533	0.49374051086512394	0.4879135243841127	0.4818174831526492	0.6516673970003309
0.1	balanced	0.1	linear	0.4957188160676533	0.49374051086512394	0.4879135243841127	0.4818174831526492	0.6516673970003309
0.1	balanced	1.0	linear	0.4957188160676533	0.49374051086512394	0.4879135243841127	0.4818174831526492	0.6516673970003309
0.01	balanced	0.01	linear	0.4867336152219873	0.4999218209800052	0.4847272498743087	0.47737031470106467	0.6527912756115252
0.01	balanced	100.0	linear	0.4867336152219873	0.4999218209800052	0.4847272498743087	0.47737031470106467	0.6527912756115252
0.01	balanced	0.1	linear	0.4867336152219873	0.4999218209800052	0.4847272498743087	0.47737031470106467	0.6527912756115252
0.01	balanced	1.0	linear	0.4867336152219873	0.4999218209800052	0.4847272498743087	0.47737031470106467	0.6527912756115252
0.01	balanced	1000.0	linear	0.4867336152219873	0.4999218209800052	0.4847272498743087	0.47737031470106467	0.6527912756115252
10.0	balanced	0.01	rbf	0.4822410147991544	0.49233805410275994	0.4734690799396682	0.47180286494225393	0.642948651433825
1.0		0.1	rbf	0.5049682875264271	0.47671426452604937	0.4811808697838109	0.4654031748561328	0.6660990983064392
10.0		0.01	rbf	0.4819767441860465	0.4652203590756222	0.4660721468074409	0.45756715883708277	0.6406662716152222
