Data	ACC	Precision_macro	Recall_macro	F1_macro	AUC_ovr_macro	AUC_class0	AUC_class1	AUC_class2
train	0.5307	0.5523	0.5285	0.5161	0.713	0.7388	0.6607	0.7394
valid	0.4762	0.4836	0.4633	0.4409	0.6174	0.7351	0.4622	0.6549
test	0.5	0.5475	0.4955	0.4769	0.6665	0.7053	0.5723	0.7221
