Data	ACC	Precision_macro	Recall_macro	F1_macro	AUC_ovr_macro	AUC_class0	AUC_class1	AUC_class2
train	0.9976	0.9973	0.9976	0.9974	0.979	0.9796	0.9802	0.9773
valid	0.6286	0.618	0.617	0.614	0.8112	0.8342	0.7604	0.8389
test	0.6111	0.6018	0.6017	0.598	0.768	0.789	0.6774	0.8376
