Data	ACC	Precision_macro	Recall_macro	F1_macro	AUC_ovr_macro	AUC_class0	AUC_class1	AUC_class2
train	0.7215	0.7164	0.7164	0.7154	0.8805	0.8898	0.8361	0.9156
valid	0.5321	0.517	0.5178	0.5168	0.717	0.7636	0.6477	0.7398
test	0.5545	0.5553	0.5437	0.5443	0.7098	0.8242	0.5447	0.7605
