Data	ACC	Precision_macro	Recall_macro	F1_macro	AUC_ovr_macro	AUC_class0	AUC_class1	AUC_class2
train	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
valid	0.701	0.6923	0.702	0.6924	0.8546	0.8868	0.7831	0.8938
test	0.596	0.5727	0.5871	0.5773	0.7829	0.8162	0.6736	0.8588
