Data	ACC	Precision_macro	Recall_macro	F1_macro	AUC_ovr_macro	AUC_class0	AUC_class1	AUC_class2
train	0.7382	0.7349	0.7376	0.7334	0.8891	0.893	0.8502	0.9242
valid	0.5238	0.515	0.5138	0.5104	0.6979	0.7538	0.5649	0.7751
test	0.4722	0.4573	0.4657	0.4508	0.673	0.7125	0.4776	0.829
