Data	ACC	Precision_macro	Recall_macro	F1_macro	AUC_ovr_macro	AUC_class0	AUC_class1	AUC_class2
train	1.0	1.0	1.0	1.0	0.881	0.9607	0.7411	0.9412
valid	0.68	0.6763	0.672	0.6684	0.7672	0.8181	0.6467	0.8368
test	0.6408	0.622	0.6306	0.6238	0.7457	0.8497	0.5336	0.8539
