mlp__activation	mlp__alpha	mlp__early_stopping	mlp__hidden_layer_sizes	mlp__learning_rate	mlp__max_iter	mlp__solver	mean_valid_accuracy	mean_valid_precision_macro	mean_valid_recall_macro	mean_valid_f1_macro	mean_valid_auc_ovr_macro
logistic	0.1	True	(50,)	constant	500	adam	0.4560365853658537	0.4672710831579791	0.4533053955848073	0.44519557928571835	0.5929545181252507
logistic	0.1	True	(50,)	constant	1000	adam	0.4560365853658537	0.4672710831579791	0.4533053955848073	0.44519557928571835	0.5929545181252507
logistic	0.1	True	(50,)	invscaling	500	adam	0.4560365853658537	0.4672710831579791	0.4533053955848073	0.44519557928571835	0.5929545181252507
logistic	0.1	True	(50,)	invscaling	1000	adam	0.4560365853658537	0.4672710831579791	0.4533053955848073	0.44519557928571835	0.5929545181252507
logistic	0.1	True	(50,)	adaptive	500	adam	0.4560365853658537	0.4672710831579791	0.4533053955848073	0.44519557928571835	0.5929545181252507
logistic	0.1	True	(50,)	adaptive	1000	adam	0.4560365853658537	0.4672710831579791	0.4533053955848073	0.44519557928571835	0.5929545181252507
identity	0.1	True	(50,)	constant	500	lbfgs	0.4558536585365854	0.45527143908722856	0.4462686822980941	0.4439714275257753	0.5952346749455778
identity	0.1	True	(50,)	invscaling	500	lbfgs	0.4558536585365854	0.45527143908722856	0.4462686822980941	0.4439714275257753	0.5952346749455778
identity	0.1	True	(50,)	invscaling	1000	lbfgs	0.4558536585365854	0.45527143908722856	0.4462686822980941	0.4439714275257753	0.5952346749455778
identity	0.1	True	(50,)	adaptive	500	lbfgs	0.4558536585365854	0.45527143908722856	0.4462686822980941	0.4439714275257753	0.5952346749455778
identity	0.1	True	(50,)	adaptive	1000	lbfgs	0.4558536585365854	0.45527143908722856	0.4462686822980941	0.4439714275257753	0.5952346749455778
identity	0.1	True	(50,)	constant	1000	lbfgs	0.4558536585365854	0.45527143908722856	0.4462686822980941	0.4439714275257753	0.5952346749455778
