Data	ACC	Precision_macro	Recall_macro	F1_macro	AUC_ovr_macro	AUC_class0	AUC_class1	AUC_class2
train	0.8593	0.858	0.8505	0.8526	0.9559	0.9626	0.9321	0.9729
valid	0.5258	0.4995	0.5135	0.4992	0.7707	0.8014	0.6786	0.8321
test	0.5859	0.5666	0.5841	0.5719	0.7273	0.7268	0.5811	0.8741
