Data	ACC	Precision_macro	Recall_macro	F1_macro	AUC_ovr_macro	AUC_class0	AUC_class1	AUC_class2
train	0.8105	0.8086	0.8127	0.8088	0.92	0.9	0.9245	0.9356
valid	0.422	0.4235	0.4113	0.4132	0.6	0.6352	0.4979	0.6668
test	0.4091	0.4051	0.4082	0.3935	0.5839	0.6492	0.4369	0.6657
