Data	ACC	Precision_macro	Recall_macro	F1_macro	AUC_ovr_macro	AUC_class0	AUC_class1	AUC_class2
train	0.6393	0.6531	0.6451	0.6382	0.8144	0.8244	0.8004	0.8182
valid	0.5229	0.5486	0.5335	0.5226	0.6795	0.7048	0.6198	0.7139
test	0.3727	0.382	0.3726	0.354	0.5978	0.6457	0.4994	0.6483
