Data	ACC	Precision_macro	Recall_macro	F1_macro	AUC_ovr_macro	AUC_class0	AUC_class1	AUC_class2
train	0.6087	0.6011	0.6088	0.5982	0.8007	0.8084	0.7478	0.8458
valid	0.5773	0.5499	0.5729	0.5481	0.7639	0.8323	0.6756	0.7839
test	0.5657	0.5602	0.5731	0.5529	0.7635	0.7911	0.6831	0.8161
