mlp__activation	mlp__alpha	mlp__early_stopping	mlp__hidden_layer_sizes	mlp__learning_rate	mlp__max_iter	mlp__solver	mean_valid_accuracy	mean_valid_precision_macro	mean_valid_recall_macro	mean_valid_f1_macro	mean_valid_auc_ovr_macro
tanh	0.1	True	(100, 100)	adaptive	500	adam	0.4716500553709856	0.47022596712999193	0.46235725059254473	0.4560942872976462	0.6458194621887239
tanh	0.1	True	(100, 100)	adaptive	1000	adam	0.4716500553709856	0.47022596712999193	0.46235725059254473	0.4560942872976462	0.6458194621887239
tanh	0.1	True	(100, 100)	invscaling	1000	adam	0.4716500553709856	0.47022596712999193	0.46235725059254473	0.4560942872976462	0.6458194621887239
tanh	0.1	True	(100, 100)	invscaling	500	adam	0.4716500553709856	0.47022596712999193	0.46235725059254473	0.4560942872976462	0.6458194621887239
tanh	0.1	True	(100, 100)	constant	1000	adam	0.4716500553709856	0.47022596712999193	0.46235725059254473	0.4560942872976462	0.6458194621887239
tanh	0.1	True	(100, 100)	constant	500	adam	0.4716500553709856	0.47022596712999193	0.46235725059254473	0.4560942872976462	0.6458194621887239
relu	0.01	True	(100, 100)	constant	500	adam	0.4696013289036546	0.47596657493406724	0.45677117000646417	0.45022592759730407	0.6429503315244697
relu	0.01	True	(100, 100)	constant	1000	adam	0.4696013289036546	0.47596657493406724	0.45677117000646417	0.45022592759730407	0.6429503315244697
relu	0.01	True	(100, 100)	adaptive	1000	adam	0.4696013289036546	0.47596657493406724	0.45677117000646417	0.45022592759730407	0.6429503315244697
relu	0.01	True	(100, 100)	adaptive	500	adam	0.4696013289036546	0.47596657493406724	0.45677117000646417	0.45022592759730407	0.6429503315244697
relu	0.01	True	(100, 100)	invscaling	1000	adam	0.4696013289036546	0.47596657493406724	0.45677117000646417	0.45022592759730407	0.6429503315244697
relu	0.01	True	(100, 100)	invscaling	500	adam	0.4696013289036546	0.47596657493406724	0.45677117000646417	0.45022592759730407	0.6429503315244697
identity	0.1	True	(100, 100)	invscaling	500	adam	0.4622369878183831	0.46245206533519234	0.4582309847015729	0.4480283363014566	0.6364427814436004
identity	0.1	True	(100, 100)	adaptive	500	adam	0.4622369878183831	0.46245206533519234	0.4582309847015729	0.4480283363014566	0.6364427814436004
identity	0.1	True	(100, 100)	constant	1000	adam	0.4622369878183831	0.46245206533519234	0.4582309847015729	0.4480283363014566	0.6364427814436004
identity	0.1	True	(100, 100)	constant	500	adam	0.4622369878183831	0.46245206533519234	0.4582309847015729	0.4480283363014566	0.6364427814436004
identity	0.1	True	(100, 100)	adaptive	1000	adam	0.4622369878183831	0.46245206533519234	0.4582309847015729	0.4480283363014566	0.6364427814436004
identity	0.1	True	(100, 100)	invscaling	1000	adam	0.4622369878183831	0.46245206533519234	0.4582309847015729	0.4480283363014566	0.6364427814436004
identity	0.01	True	(100, 100)	adaptive	1000	adam	0.455094130675526	0.46059961233234886	0.4478134202398908	0.4410494695213066	0.636833336309339
identity	0.01	True	(100, 100)	adaptive	500	adam	0.455094130675526	0.46059961233234886	0.4478134202398908	0.4410494695213066	0.636833336309339
identity	0.01	True	(100, 100)	invscaling	1000	adam	0.455094130675526	0.46059961233234886	0.4478134202398908	0.4410494695213066	0.636833336309339
identity	0.01	True	(100, 100)	invscaling	500	adam	0.455094130675526	0.46059961233234886	0.4478134202398908	0.4410494695213066	0.636833336309339
identity	0.01	True	(100, 100)	constant	1000	adam	0.455094130675526	0.46059961233234886	0.4478134202398908	0.4410494695213066	0.636833336309339
identity	0.01	True	(100, 100)	constant	500	adam	0.455094130675526	0.46059961233234886	0.4478134202398908	0.4410494695213066	0.636833336309339
relu	0.1	True	(100, 100)	invscaling	500	adam	0.460077519379845	0.4762902047499571	0.45294027867557285	0.44017465657041577	0.6469977370163337
relu	0.1	True	(100, 100)	constant	1000	adam	0.460077519379845	0.4762902047499571	0.45294027867557285	0.44017465657041577	0.6469977370163337
relu	0.1	True	(100, 100)	adaptive	1000	adam	0.460077519379845	0.4762902047499571	0.45294027867557285	0.44017465657041577	0.6469977370163337
relu	0.1	True	(100, 100)	invscaling	1000	adam	0.460077519379845	0.4762902047499571	0.45294027867557285	0.44017465657041577	0.6469977370163337
relu	0.1	True	(100, 100)	adaptive	500	adam	0.460077519379845	0.4762902047499571	0.45294027867557285	0.44017465657041577	0.6469977370163337
relu	0.1	True	(100, 100)	constant	500	adam	0.460077519379845	0.4762902047499571	0.45294027867557285	0.44017465657041577	0.6469977370163337
identity	0.001	True	(100, 100)	adaptive	1000	lbfgs	0.455094130675526	0.45760779153194014	0.44569193061840123	0.4393354424285289	0.6009209806245022
identity	0.001	True	(100, 100)	invscaling	500	lbfgs	0.455094130675526	0.45760779153194014	0.44569193061840123	0.4393354424285289	0.6009209806245022
identity	0.001	True	(100, 100)	adaptive	500	lbfgs	0.455094130675526	0.45760779153194014	0.44569193061840123	0.4393354424285289	0.6009209806245022
identity	0.001	True	(100, 100)	invscaling	1000	lbfgs	0.455094130675526	0.45760779153194014	0.44569193061840123	0.4393354424285289	0.6009209806245022
identity	0.001	True	(100, 100)	constant	1000	lbfgs	0.455094130675526	0.45760779153194014	0.44569193061840123	0.4393354424285289	0.6009209806245022
identity	0.001	True	(100, 100)	constant	500	lbfgs	0.455094130675526	0.45760779153194014	0.44569193061840123	0.4393354424285289	0.6009209806245022
relu	0.01	True	(100,)	invscaling	1000	lbfgs	0.455094130675526	0.45519342814621455	0.443172268907563	0.43898698955211757	0.6120162538076467
relu	0.01	True	(100,)	invscaling	500	lbfgs	0.455094130675526	0.45519342814621455	0.443172268907563	0.43898698955211757	0.6120162538076467
relu	0.01	True	(100,)	constant	500	lbfgs	0.455094130675526	0.45519342814621455	0.443172268907563	0.43898698955211757	0.6120162538076467
relu	0.01	True	(100,)	constant	1000	lbfgs	0.455094130675526	0.45519342814621455	0.443172268907563	0.43898698955211757	0.6120162538076467
relu	0.01	True	(100,)	adaptive	500	lbfgs	0.455094130675526	0.45519342814621455	0.443172268907563	0.43898698955211757	0.6120162538076467
relu	0.01	True	(100,)	adaptive	1000	lbfgs	0.455094130675526	0.45519342814621455	0.443172268907563	0.43898698955211757	0.6120162538076467
