C	class_weight	gamma	kernel	mean_valid_accuracy	mean_valid_precision_macro	mean_valid_recall_macro	mean_valid_f1_macro	mean_valid_auc_ovr_macro
10.0		0.01	linear	0.4576282051282051	0.44589417519758073	0.44173065496594904	0.43426041229575796	0.6245841356536961
10.0	balanced	0.01	linear	0.4576282051282051	0.44589417519758073	0.44173065496594904	0.43426041229575796	0.6245841356536961
100.0		1.0	linear	0.4576282051282051	0.44589417519758073	0.44173065496594904	0.43426041229575796	0.6245841356536961
100.0		0.1	linear	0.4576282051282051	0.44589417519758073	0.44173065496594904	0.43426041229575796	0.6245841356536961
100.0		0.01	linear	0.4576282051282051	0.44589417519758073	0.44173065496594904	0.43426041229575796	0.6245841356536961
10.0	balanced	1000.0	linear	0.4576282051282051	0.44589417519758073	0.44173065496594904	0.43426041229575796	0.6245841356536961
10.0	balanced	100.0	linear	0.4576282051282051	0.44589417519758073	0.44173065496594904	0.43426041229575796	0.6245841356536961
10.0	balanced	1.0	linear	0.4576282051282051	0.44589417519758073	0.44173065496594904	0.43426041229575796	0.6245841356536961
1.0		0.01	linear	0.4576282051282051	0.44589417519758073	0.44173065496594904	0.43426041229575796	0.6245841356536961
10.0	balanced	0.1	linear	0.4576282051282051	0.44589417519758073	0.44173065496594904	0.43426041229575796	0.6245841356536961
1.0		0.1	linear	0.4576282051282051	0.44589417519758073	0.44173065496594904	0.43426041229575796	0.6245841356536961
1.0		1.0	linear	0.4576282051282051	0.44589417519758073	0.44173065496594904	0.43426041229575796	0.6245841356536961
100.0		1000.0	linear	0.4576282051282051	0.44589417519758073	0.44173065496594904	0.43426041229575796	0.6245841356536961
10.0		1000.0	linear	0.4576282051282051	0.44589417519758073	0.44173065496594904	0.43426041229575796	0.6245841356536961
1.0		100.0	linear	0.4576282051282051	0.44589417519758073	0.44173065496594904	0.43426041229575796	0.6245841356536961
10.0		100.0	linear	0.4576282051282051	0.44589417519758073	0.44173065496594904	0.43426041229575796	0.6245841356536961
1.0		1000.0	linear	0.4576282051282051	0.44589417519758073	0.44173065496594904	0.43426041229575796	0.6245841356536961
10.0		1.0	linear	0.4576282051282051	0.44589417519758073	0.44173065496594904	0.43426041229575796	0.6245841356536961
1.0	balanced	0.01	linear	0.4576282051282051	0.44589417519758073	0.44173065496594904	0.43426041229575796	0.6245841356536961
10.0		0.1	linear	0.4576282051282051	0.44589417519758073	0.44173065496594904	0.43426041229575796	0.6245841356536961
1.0	balanced	0.1	linear	0.4576282051282051	0.44589417519758073	0.44173065496594904	0.43426041229575796	0.6245841356536961
1.0	balanced	1000.0	linear	0.4576282051282051	0.44589417519758073	0.44173065496594904	0.43426041229575796	0.6245841356536961
1.0	balanced	100.0	linear	0.4576282051282051	0.44589417519758073	0.44173065496594904	0.43426041229575796	0.6245841356536961
100.0		100.0	linear	0.4576282051282051	0.44589417519758073	0.44173065496594904	0.43426041229575796	0.6245841356536961
1.0	balanced	1.0	linear	0.4576282051282051	0.44589417519758073	0.44173065496594904	0.43426041229575796	0.6245841356536961
100.0	balanced	1000.0	linear	0.4576282051282051	0.44589417519758073	0.44173065496594904	0.43426041229575796	0.6245841356536961
1000.0	balanced	1000.0	linear	0.4576282051282051	0.44589417519758073	0.44173065496594904	0.43426041229575796	0.6245841356536961
1000.0	balanced	100.0	linear	0.4576282051282051	0.44589417519758073	0.44173065496594904	0.43426041229575796	0.6245841356536961
1000.0	balanced	1.0	linear	0.4576282051282051	0.44589417519758073	0.44173065496594904	0.43426041229575796	0.6245841356536961
100.0	balanced	0.1	linear	0.4576282051282051	0.44589417519758073	0.44173065496594904	0.43426041229575796	0.6245841356536961
1000.0	balanced	0.1	linear	0.4576282051282051	0.44589417519758073	0.44173065496594904	0.43426041229575796	0.6245841356536961
1000.0	balanced	0.01	linear	0.4576282051282051	0.44589417519758073	0.44173065496594904	0.43426041229575796	0.6245841356536961
