C	class_weight	gamma	kernel	mean_valid_accuracy	mean_valid_precision_macro	mean_valid_recall_macro	mean_valid_f1_macro	mean_valid_auc_ovr_macro
10.0		0.01	linear	0.40321151716500553	0.3862458457136409	0.387059182647418	0.37566855859308435	0.562724481740064
10.0	balanced	0.1	linear	0.40321151716500553	0.3862458457136409	0.387059182647418	0.37566855859308435	0.562724481740064
0.1	balanced	0.01	linear	0.40321151716500553	0.3862458457136409	0.387059182647418	0.37566855859308435	0.562724481740064
100.0		0.1	linear	0.40321151716500553	0.3862458457136409	0.387059182647418	0.37566855859308435	0.562724481740064
0.1	balanced	0.1	linear	0.40321151716500553	0.3862458457136409	0.387059182647418	0.37566855859308435	0.562724481740064
100.0		0.01	linear	0.40321151716500553	0.3862458457136409	0.387059182647418	0.37566855859308435	0.562724481740064
0.1	balanced	1.0	linear	0.40321151716500553	0.3862458457136409	0.387059182647418	0.37566855859308435	0.562724481740064
10.0	balanced	1000.0	linear	0.40321151716500553	0.3862458457136409	0.387059182647418	0.37566855859308435	0.562724481740064
0.1	balanced	100.0	linear	0.40321151716500553	0.3862458457136409	0.387059182647418	0.37566855859308435	0.562724481740064
10.0	balanced	100.0	linear	0.40321151716500553	0.3862458457136409	0.387059182647418	0.37566855859308435	0.562724481740064
0.1	balanced	1000.0	linear	0.40321151716500553	0.3862458457136409	0.387059182647418	0.37566855859308435	0.562724481740064
10.0	balanced	1.0	linear	0.40321151716500553	0.3862458457136409	0.387059182647418	0.37566855859308435	0.562724481740064
1.0		0.01	linear	0.40321151716500553	0.3862458457136409	0.387059182647418	0.37566855859308435	0.562724481740064
1.0		0.1	linear	0.40321151716500553	0.3862458457136409	0.387059182647418	0.37566855859308435	0.562724481740064
0.1		1000.0	linear	0.40321151716500553	0.3862458457136409	0.387059182647418	0.37566855859308435	0.562724481740064
10.0	balanced	0.01	linear	0.40321151716500553	0.3862458457136409	0.387059182647418	0.37566855859308435	0.562724481740064
1.0		1.0	linear	0.40321151716500553	0.3862458457136409	0.387059182647418	0.37566855859308435	0.562724481740064
10.0		1000.0	linear	0.40321151716500553	0.3862458457136409	0.387059182647418	0.37566855859308435	0.562724481740064
1.0		100.0	linear	0.40321151716500553	0.3862458457136409	0.387059182647418	0.37566855859308435	0.562724481740064
10.0		100.0	linear	0.40321151716500553	0.3862458457136409	0.387059182647418	0.37566855859308435	0.562724481740064
1.0		1000.0	linear	0.40321151716500553	0.3862458457136409	0.387059182647418	0.37566855859308435	0.562724481740064
10.0		1.0	linear	0.40321151716500553	0.3862458457136409	0.387059182647418	0.37566855859308435	0.562724481740064
1.0	balanced	0.01	linear	0.40321151716500553	0.3862458457136409	0.387059182647418	0.37566855859308435	0.562724481740064
10.0		0.1	linear	0.40321151716500553	0.3862458457136409	0.387059182647418	0.37566855859308435	0.562724481740064
1.0	balanced	0.1	linear	0.40321151716500553	0.3862458457136409	0.387059182647418	0.37566855859308435	0.562724481740064
1.0	balanced	1000.0	linear	0.40321151716500553	0.3862458457136409	0.387059182647418	0.37566855859308435	0.562724481740064
