Data	ACC	Precision_macro	Recall_macro	F1_macro	AUC_ovr_macro	AUC_class0	AUC_class1	AUC_class2
train	0.9909	0.991	0.9903	0.9907	0.8527	0.8704	0.7328	0.9549
valid	0.6055	0.6067	0.5839	0.5762	0.6877	0.7428	0.5464	0.7739
test	0.6727	0.6604	0.6596	0.6589	0.7252	0.7784	0.5643	0.833
