Data	ACC	Precision_macro	Recall_macro	F1_macro	AUC_ovr_macro	AUC_class0	AUC_class1	AUC_class2
train	0.8465	0.8457	0.8425	0.8438	0.958	0.9612	0.944	0.9687
valid	0.6907	0.6807	0.6892	0.6824	0.8355	0.8519	0.7861	0.8684
test	0.6566	0.6442	0.6419	0.6429	0.808	0.8505	0.7068	0.8667
