Data	ACC	Precision_macro	Recall_macro	F1_macro	AUC_ovr_macro	AUC_class0	AUC_class1	AUC_class2
train	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
valid	0.59	0.5641	0.5734	0.5654	0.7492	0.7588	0.6748	0.814
test	0.5825	0.5662	0.5707	0.5669	0.7166	0.7506	0.5636	0.8356
