Data	ACC	Precision_macro	Recall_macro	F1_macro	AUC_ovr_macro	AUC_class0	AUC_class1	AUC_class2
train	0.9923	0.9927	0.9916	0.9921	0.9999	0.9999	1.0	0.9998
valid	0.6804	0.6753	0.6811	0.6725	0.8045	0.8358	0.7378	0.8399
test	0.5253	0.5219	0.5135	0.514	0.6903	0.7657	0.6044	0.7007
