C	class_weight	gamma	kernel	mean_valid_accuracy	mean_valid_precision_macro	mean_valid_recall_macro	mean_valid_f1_macro	mean_valid_auc_ovr_macro
1.0	balanced	0.1	rbf	0.49923076923076926	0.511725707393866	0.497630433292198	0.4944864575015474	0.687454000915201
1.0	balanced	0.01	rbf	0.4916666666666666	0.5042274174627116	0.5008318478906715	0.4857664403338493	0.6908389703245837
0.1	balanced	100.0	linear	0.481474358974359	0.48548016926886894	0.4805251039809863	0.4736387784275891	0.6582831928908928
0.1	balanced	1000.0	linear	0.481474358974359	0.48548016926886894	0.4805251039809863	0.4736387784275891	0.6582831928908928
0.1	balanced	1.0	linear	0.481474358974359	0.48548016926886894	0.4805251039809863	0.4736387784275891	0.6582831928908928
0.1	balanced	0.1	linear	0.481474358974359	0.48548016926886894	0.4805251039809863	0.4736387784275891	0.6582831928908928
0.1	balanced	0.01	linear	0.481474358974359	0.48548016926886894	0.4805251039809863	0.4736387784275891	0.6582831928908928
0.01	balanced	0.1	linear	0.4736538461538461	0.4846788537113615	0.4875738150738151	0.4657957540173932	0.6784345564843409
0.01	balanced	1000.0	linear	0.4736538461538461	0.4846788537113615	0.4875738150738151	0.4657957540173932	0.6784345564843409
0.01	balanced	100.0	linear	0.4736538461538461	0.4846788537113615	0.4875738150738151	0.4657957540173932	0.6784345564843409
0.01	balanced	0.01	linear	0.4736538461538461	0.4846788537113615	0.4875738150738151	0.4657957540173932	0.6784345564843409
0.01	balanced	1.0	linear	0.4736538461538461	0.4846788537113615	0.4875738150738151	0.4657957540173932	0.6784345564843409
10.0	balanced	0.01	rbf	0.46352564102564103	0.46116200248553196	0.46050339366515836	0.4505786407963209	0.6605111316507022
1.0		0.1	rbf	0.4660897435897436	0.46474268000661184	0.44205470999588653	0.4411895683865743	0.6717422834495153
1.0	balanced	0.01	linear	0.4480128205128205	0.4432094920330214	0.43759866767219713	0.43501484353671493	0.6212225209049562
1.0	balanced	0.1	linear	0.4480128205128205	0.4432094920330214	0.43759866767219713	0.43501484353671493	0.6212225209049562
1.0	balanced	1.0	linear	0.4480128205128205	0.4432094920330214	0.43759866767219713	0.43501484353671493	0.6212225209049562
1.0	balanced	100.0	linear	0.4480128205128205	0.4432094920330214	0.43759866767219713	0.43501484353671493	0.6212225209049562
1.0	balanced	1000.0	linear	0.4480128205128205	0.4432094920330214	0.43759866767219713	0.43501484353671493	0.6212225209049562
0.1		0.1	linear	0.4583974358974359	0.4537429658018903	0.44134221170985877	0.43419678880063267	0.6497154999447112
0.1		1000.0	linear	0.4583974358974359	0.4537429658018903	0.44134221170985877	0.43419678880063267	0.6497154999447112
0.1		100.0	linear	0.4583974358974359	0.4537429658018903	0.44134221170985877	0.43419678880063267	0.6497154999447112
0.1		1.0	linear	0.4583974358974359	0.4537429658018903	0.44134221170985877	0.43419678880063267	0.6497154999447112
0.1		0.01	linear	0.4583974358974359	0.4537429658018903	0.44134221170985877	0.43419678880063267	0.6497154999447112
10.0		0.1	linear	0.4553846153846154	0.43824782888250385	0.4431975867269985	0.433329694654751	0.6250189556450245
10.0		1.0	linear	0.4553846153846154	0.43824782888250385	0.4431975867269985	0.433329694654751	0.6250189556450245
10.0		100.0	linear	0.4553846153846154	0.43824782888250385	0.4431975867269985	0.433329694654751	0.6250189556450245
10.0		1000.0	linear	0.4553846153846154	0.43824782888250385	0.4431975867269985	0.433329694654751	0.6250189556450245
10.0		0.01	linear	0.4553846153846154	0.43824782888250385	0.4431975867269985	0.433329694654751	0.6250189556450245
1000.0		0.01	rbf	0.4501923076923077	0.44100320459840586	0.4367188285570639	0.43218848408426414	0.6299820212999124
1000.0	balanced	0.01	rbf	0.4501923076923077	0.44100320459840586	0.4367188285570639	0.43218848408426414	0.6299820212999124
1.0		0.01	linear	0.4505128205128205	0.44434456840029596	0.43335378673613967	0.430227931968817	0.6260021336767767
1.0		1000.0	linear	0.4505128205128205	0.44434456840029596	0.43335378673613967	0.430227931968817	0.6260021336767767
1.0		100.0	linear	0.4505128205128205	0.44434456840029596	0.43335378673613967	0.430227931968817	0.6260021336767767
1.0		1.0	linear	0.4505128205128205	0.44434456840029596	0.43335378673613967	0.430227931968817	0.6260021336767767
1.0		0.1	linear	0.4505128205128205	0.44434456840029596	0.43335378673613967	0.430227931968817	0.6260021336767767
10.0		0.01	rbf	0.4481410256410256	0.441171535791101	0.4341779217514511	0.4270797217287157	0.6467180962545374
10.0	balanced	0.1	linear	0.44000000000000006	0.4322644740020901	0.43200300516476986	0.42561769205179684	0.6231055761992613
10.0	balanced	0.01	linear	0.44000000000000006	0.4322644740020901	0.43200300516476986	0.42561769205179684	0.6231055761992613
10.0	balanced	1.0	linear	0.44000000000000006	0.4322644740020901	0.43200300516476986	0.42561769205179684	0.6231055761992613
10.0	balanced	100.0	linear	0.44000000000000006	0.4322644740020901	0.43200300516476986	0.42561769205179684	0.6231055761992613
10.0	balanced	1000.0	linear	0.44000000000000006	0.4322644740020901	0.43200300516476986	0.42561769205179684	0.6231055761992613
100.0		0.01	rbf	0.43999999999999995	0.4339604511951059	0.42441439279674575	0.4188911188846888	0.6243219055185536
100.0	balanced	0.01	rbf	0.4323717948717949	0.4314895052201554	0.42172648430001375	0.41735015255139024	0.6230757411842172
1000.0	balanced	100.0	linear	0.42980769230769234	0.4247880433157725	0.4204853969559852	0.41303982734360306	0.6298381935074664
1000.0		1000.0	linear	0.42980769230769234	0.4247880433157725	0.4204853969559852	0.41303982734360306	0.6298381935074664
1000.0		0.1	linear	0.42980769230769234	0.4247880433157725	0.4204853969559852	0.41303982734360306	0.6298381935074664
1000.0	balanced	0.01	linear	0.42980769230769234	0.4247880433157725	0.4204853969559852	0.41303982734360306	0.6298381935074664
1000.0		0.01	linear	0.42980769230769234	0.4247880433157725	0.4204853969559852	0.41303982734360306	0.6298381935074664
1000.0	balanced	1000.0	linear	0.42980769230769234	0.4247880433157725	0.4204853969559852	0.41303982734360306	0.6298381935074664
1000.0		1.0	linear	0.42980769230769234	0.4247880433157725	0.4204853969559852	0.41303982734360306	0.6298381935074664
1000.0	balanced	0.1	linear	0.42980769230769234	0.4247880433157725	0.4204853969559852	0.41303982734360306	0.6298381935074664
1000.0	balanced	1.0	linear	0.42980769230769234	0.4247880433157725	0.4204853969559852	0.41303982734360306	0.6298381935074664
1000.0		100.0	linear	0.42980769230769234	0.4247880433157725	0.4204853969559852	0.41303982734360306	0.6298381935074664
100.0	balanced	0.1	rbf	0.4325	0.42417506670602645	0.41414649892591066	0.4124910731266221	0.6418494567357701
100.0		0.1	rbf	0.4325	0.42417506670602645	0.41414649892591066	0.4124910731266221	0.6418494567357701
1000.0		0.1	rbf	0.4325	0.42417506670602645	0.41414649892591066	0.4124910731266221	0.6418494567357701
1000.0	balanced	0.1	rbf	0.4325	0.42417506670602645	0.41414649892591066	0.4124910731266221	0.6418494567357701
100.0	balanced	1.0	linear	0.4272435897435898	0.42314471760123934	0.41827951460304397	0.4113712804622079	0.6328111534259637
100.0	balanced	100.0	linear	0.4272435897435898	0.42314471760123934	0.41827951460304397	0.4113712804622079	0.6328111534259637
100.0	balanced	0.1	linear	0.4272435897435898	0.42314471760123934	0.41827951460304397	0.4113712804622079	0.6328111534259637
100.0	balanced	1000.0	linear	0.4272435897435898	0.42314471760123934	0.41827951460304397	0.4113712804622079	0.6328111534259637
100.0	balanced	0.01	linear	0.4272435897435898	0.42314471760123934	0.41827951460304397	0.4113712804622079	0.6328111534259637
100.0		0.01	linear	0.4272435897435898	0.4218509024838948	0.41827951460304397	0.4110475459423949	0.6325610456929883
100.0		1.0	linear	0.4272435897435898	0.4218509024838948	0.41827951460304397	0.4110475459423949	0.6325610456929883
100.0		1000.0	linear	0.4272435897435898	0.4218509024838948	0.41827951460304397	0.4110475459423949	0.6325610456929883
100.0		0.1	linear	0.4272435897435898	0.4218509024838948	0.41827951460304397	0.4110475459423949	0.6325610456929883
100.0		100.0	linear	0.4272435897435898	0.4218509024838948	0.41827951460304397	0.4110475459423949	0.6325610456929883
10.0		0.1	rbf	0.42743589743589744	0.41924259664197744	0.4083384181178299	0.4069717669805474	0.642125676288707
